max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
3,3,100,0.7708,30
3,3,200,0.7657,30
3,3,300,0.7702,30
3,5,100,0.7584,30
3,5,200,0.7652,30
3,5,300,0.7799,30
3,10,100,0.7269,30
3,10,200,0.7249,30
3,10,300,0.7392,30
5,3,100,0.7377,30
5,3,200,0.754,30
5,3,300,0.7645,30
5,5,100,0.748,30
5,5,200,0.7586,30
5,5,300,0.777,30
5,10,100,0.7158,30
5,10,200,0.716,30
5,10,300,0.7331,30
2,3,100,0.573,31
2,3,200,0.5778,31
2,3,300,0.5674,31
2,5,100,0.5733,31
2,5,200,0.5711,31
2,5,300,0.5749,31
2,10,100,0.5771,31
2,10,200,0.5796,31
2,10,300,0.5701,31
3,3,100,0.5555,31
3,3,200,0.5824,31
3,3,300,0.5583,31
3,5,100,0.5671,31
3,5,200,0.5803,31
3,5,300,0.5687,31
3,10,100,0.572,31
3,10,200,0.5705,31
3,10,300,0.5817,31
5,3,100,0.5584,31
5,3,200,0.5681,31
5,3,300,0.5491,31
5,5,100,0.5605,31
5,5,200,0.578,31
5,5,300,0.5781,31
5,10,100,0.5879,31
5,10,200,0.5722,31
5,10,300,0.5788,31
