segment_id,class,timestamp_start,timestamp_end,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
84,tiktok_under_4s_watched,1765396513.1431432,1765396513.6392722,-41066010608913.14,-15968724708690.758,-67537330820.187546,-185798930482.02115,-135304366036.9494,-53719921448.06533,-36207326797.87606,-4409322250.860661,-52196136393.767715,-9132192702.284124,-1993171992187.2734,-29595519087.692886,34681571326.65647,-75399883262.51784,-125449916163.6797,21630692725.026985,-216618356533.10965,-179550530067.09015,35482991278.830055,-1250911675752.6323
85,tiktok_under_4s_watched,1765396515.252674,1765396515.7487998,-60261185834948.95,-14950010428371.285,-28441056211.222404,-110254574031.43976,-43847369286.677704,-25121678545.725838,-96584775631.41641,-145955968578.7236,-58136047792.48227,-20622653884.656353,-3870667504707.925,-1034775215110.4336,-65429300827.757645,-42197886542.50125,-113931754004.24811,18084897607.77899,-38424076591.87389,-264439607025.31497,38577881134.526825,-494155972151.1819
86,tiktok_under_4s_watched,1765396516.8465335,1765396517.342658,-50179323078546.16,-8868031457089.205,-35658996867.012764,-131027603533.71606,-119209862599.59837,-49705025481.53576,-70059127115.87354,-144039918783.69736,-75470577986.9986,-17577604877.05235,-3942417370568.2617,646770202913.3179,-51335561467.64164,-52768945987.403114,-176071131044.00134,3218617814.66663,-265719585017.12415,-434035255140.752,47175191210.53386,-515574968845.22064
87,tiktok_under_4s_watched,1765396537.9417517,1765396538.4378734,-31693658016055.46,-7378218157856.906,5837476365.01477,-133363600360.29521,-90920111857.9498,-38233615149.58422,-51524916823.37726,-39019887091.4274,-47744874705.10967,-17746516595.116634,-925898175832.9779,-791381800053.229,-11046620706.008844,-35276944203.5753,-125507543980.11313,22646409794.454243,-145526770233.0548,-159126828414.06363,34239501452.986816,-1478188138304.7625
88,tiktok_under_4s_watched,1765396548.9112291,1765396549.4073534,-14846970511224.047,-2648862188096.7607,5553801083.832457,-40650063039.056435,-32367220459.88045,-39254072576.60933,-162027384158.62073,-214265294677.02283,-28376348799.794514,-20633524386.36147,-2378346474623.967,-73100713509.23022,31052063983.079872,-43898265247.11165,-92555511635.2313,17650134724.65284,-264684083180.09766,-195538450993.3332,42951200793.651726,-1310983983404.3975
89,tiktok_under_4s_watched,1765396571.4594684,1765396571.9555886,-24084395246057.957,-15276552806275.742,-74914801535.44977,-129676305749.32986,-53241328058.3605,-43969576315.115944,-15496594862.75437,-53176438354.504814,-57591305582.79853,-20719264193.627243,-2288315213226.654,-549423955586.37335,5019330094.340327,-87510396147.21515,-159107705516.80045,3194588366.2422247,-337235584791.6634,-371459171818.85443,58406531255.68155,-999349115053.1859
90,tiktok_under_4s_watched,1765396575.256555,1765396575.7526765,-40397081760729.49,-12443481693725.672,-55968746769.893875,-105167270704.0714,-86928714164.24455,-29419487259.061573,-115762562013.19643,-50663739688.78784,-64966234707.686935,-9283019692.977863,-3421648925898.9746,505573602407.53534,-157911982775.8355,-59133340116.807884,-174901706265.5964,38386664196.455475,-370882751635.5977,-605061020344.0068,-8821199985.07934,-1545372806994.4763
91,tiktok_under_4s_watched,1765396577.5066953,1765396578.0028296,-20316174704330.9,-6605116000112.834,-22428838943.69238,-143380026266.27664,-109292853453.04219,-52754517617.73457,-97635649105.36867,-31672352848.25978,-42235367444.63657,-11827962959.33025,-4102658883128.051,445118066069.4269,-15666446824.020206,-70873822612.41298,-210472576963.9605,14200000554.16127,-155931630881.65167,-677208552919.2736,-4013926009.962895,2498725510562.0664
92,tiktok_under_4s_watched,1765396581.0694635,1765396581.565596,-31599786732746.773,-22380392472948.895,-72558741665.83775,-162663635531.6678,-98541664781.16849,-52122079620.26918,-57431279622.36286,-62162322717.30076,-57841942877.2428,-17598982639.375793,-3685020364798.3223,-83579299869.38684,-267161134767.38943,-73974768506.93816,-130526571581.29752,3241052704.874095,-265329335196.76367,-659414830848.0216,-2854129502.7976904,2009102991495.9072
93,tiktok_under_4s_watched,1765396582.8039684,1765396583.300095,-48651172423591.65,-21877972239138.242,-45120896572.21573,-155204026161.15356,-49773816257.62729,-96907873532.5519,-52640082615.00829,-10845707695.42965,-55738281528.481094,-21056504158.547775,-4223327090264.493,-574186813405.5402,-200157575720.7693,-58814447884.84273,-123388396646.95183,5511277839.294662,-258448502966.08212,-837720942811.6357,6703248821.241057,2326745771169.538
94,tiktok_under_4s_watched,1765396593.3515997,1765396593.847726,-61302549673639.64,-18920512972650.254,-64838633666.13831,-133729981078.8234,-77240882949.12865,-50882028348.991486,-97229219949.70396,-15625317785.09094,-22340231726.488983,-23443034333.58203,-6543881897917.451,-1537106564212.8389,-214090737129.0115,-88116884349.58672,-167815419319.98297,44978862395.98716,57633701134.203514,-1222643279519.8362,-251000820471.65552,-769829749664.6194
95,tiktok_under_4s_watched,1765396669.997569,1765396670.4937017,-38009840783716.04,-19013644560254.2,-62453486854.41762,-137648348158.65787,-66737805121.77184,-52251578695.25565,-338245480.7160907,-18585697401.252724,-13337574766.88612,-6607091747.412461,-5959968503255.544,-1989478827730.7676,-55123920685.840576,-70148632966.67038,-165585213351.46463,13451341842.182043,57930012792.049065,-588246144045.7323,-122261858789.96371,716153751475.7672
96,tiktok_under_4s_watched,1765396671.5445778,1765396672.0407107,-19104757225679.05,-9005187994050.084,-31005275656.424595,-186137043100.02298,-78499850009.83214,-32046487050.367397,-13555735429.710678,-75289213322.5582,-86320141799.29285,-28320227247.47028,-81262243963.06212,278741569997.2575,-72676073506.41666,-68864987231.62209,-187869239298.84818,14399820824.68154,-138478158707.71576,-556711080319.1362,-5714117484.399618,1724488577520.71
97,tiktok_under_4s_watched,1765396679.2796023,1765396679.775731,-30685742430066.25,-7854025510063.591,-45484335072.448616,-121520946283.38579,-139834577601.2537,-62125483158.91702,-156403560253.22763,-68804185087.62895,-25834199731.705647,-16382252318.462763,-2183176612126.2312,-2324390719663.7666,-60681329699.369736,-51754628688.93602,-231591452407.05734,46837151541.15006,80299574889.54483,-1228373915146.7424,-213199487567.3002,-696934223544.1212
98,tiktok_under_4s_watched,1765396680.6859653,1765396681.1820972,-44538983486677.484,-17344281368129.973,-85407740770.8083,-115340213742.33444,-63667736552.09911,-59256930216.003265,-86015512841.59296,-144825708673.56146,-18184687708.0894,-18682674686.645477,-2137919857648.7864,-3891843662451.323,-322838138095.6302,-47195219315.286514,-195485529330.4645,16724200858.858578,-121299609038.94383,-759350152105.5427,3655893473.6988325,2448020237376.0576
99,tiktok_under_4s_watched,1765396707.547415,1765396708.043542,-52404048643299.45,-18385853119454.15,-46873193197.16548,-150520392685.13928,-95707720624.84976,-37192319111.70396,-86427923997.72452,-88857944614.6429,32590481655.94553,-17568522532.701874,-307130705617.70624,-980773305597.5934,-131857247348.52658,-76514454154.35834,-160880615081.28235,41149282258.341415,-28692172690.001358,-934866379472.787,-41242531532.16734,1554073092970.4065
100,tiktok_under_4s_watched,1765396723.6266792,1765396724.122806,-16900886168914.39,-5233438214950.508,-15427926128.359526,-130642331836.92783,-161483963692.43396,-52822490540.76966,-118047750465.3584,-247989484556.92334,-61730241260.54548,-19306749108.072376,-1679302486307.5735,-1112160186644.6353,-386229085297.82965,-82981497989.30017,-195973186705.88034,8804125973.716497,-258721178369.0436,-859706914340.8888,6636919583.381144,2471504728704.137
