Rank,Feature,Mean Gini,SD,Electrode,Band
198,AF8_beta_peakfreq,0.002001,0.00156,AF8,beta
199,AF7_raw_mean,0.001989,0.001708,AF7,raw
200,TP9_high_gamma_mean,0.001967,0.002498,TP9,high_gamma
201,AF8_beta_rel_power,0.001957,0.002143,AF8,beta
202,TP9_beta_hjorth_comp,0.001951,0.001834,TP9,beta
203,AF7_low_gamma_std,0.001938,0.001392,AF7,low_gamma
204,TP9_low_gamma_std,0.001923,0.001388,TP9,low_gamma
205,AF8_theta_hjorth_comp,0.001901,0.001834,AF8,theta
206,TP9_delta_rel_power,0.001878,0.002408,TP9,delta
207,AF8_high_gamma_rel_power,0.001878,0.002445,AF8,high_gamma
208,TP9_alpha_hjorth_mob,0.001858,0.001524,TP9,alpha
209,AF7_very_high_hjorth_act,0.00184,0.0013,AF7,very_high
210,TP10_beta_rel_power,0.001827,0.002239,TP10,beta
211,AF7_very_high_mean,0.001827,0.001294,AF7,very_high
212,AF7_very_high_hjorth_comp,0.001803,0.001649,AF7,very_high
213,AF8_alpha_hjorth_comp,0.001796,0.001547,AF8,alpha
214,AF8_low_gamma_hjorth_comp,0.001793,0.001865,AF8,low_gamma
215,AF8_theta_rel_power,0.001786,0.002196,AF8,theta
216,AF7_beta_peakfreq,0.001783,0.001497,AF7,beta
217,TP10_beta_peakfreq,0.001769,0.001605,TP10,beta
218,TP10_very_high_rel_power,0.001703,0.002019,TP10,very_high
219,TP9_high_gamma_rel_power,0.001682,0.001956,TP9,high_gamma
220,TP9_beta_rel_power,0.001667,0.001984,TP9,beta
221,TP10_theta_rel_power,0.001611,0.00267,TP10,theta
222,AF7_very_high_peakfreq,0.001596,0.001196,AF7,very_high
223,AF7_very_high_std,0.001588,0.001192,AF7,very_high
224,TP9_low_gamma_hjorth_act,0.001535,0.001297,TP9,low_gamma
225,AF7_high_gamma_rel_power,0.001521,0.002445,AF7,high_gamma
226,TP10_high_gamma_mean,0.001392,0.001126,TP10,high_gamma
227,TP9_theta_rel_power,0.001371,0.001583,TP9,theta
228,AF7_alpha_rel_power,0.001333,0.00244,AF7,alpha
229,AF7_very_high_rel_power,0.001305,0.002549,AF7,very_high
230,TP9_very_high_peakfreq,0.001294,0.001197,TP9,very_high
231,AF7_theta_rel_power,0.00122,0.00222,AF7,theta
232,TP9_alpha_rel_power,0.001218,0.001835,TP9,alpha
233,AF7_delta_rel_power,0.001212,0.002196,AF7,delta
234,AF7_beta_rel_power,0.001122,0.002142,AF7,beta
235,AF7_low_gamma_rel_power,0.001116,0.00162,AF7,low_gamma
236,TP9_low_gamma_rel_power,0.000985,0.00126,TP9,low_gamma
