segment_id,class,timestamp_start,timestamp_end,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
27,tiktok_under_4s_watched,1764170640.953504,1764170642.0278132,-80522472034.0883,-115483971753.88487,-98580738298.01549,-61135990478.69973,3078551747.3228846,-837840876843.183,-79403371129.32372,3621355543.3390083,-14817686824.537169,-14998899651.474556,-171007546701.02502,-22787978949.491264,-36905826195.725266,-25536791415.14575,-7292920126.080279,-18616809961.226173,-38858739337.67222,-8632809049.546442,-14733103516.217457,-105921362697.02165
28,tiktok_under_4s_watched,1764170642.031744,1764170643.1060655,-1232439632.3487363,-27674303444.925484,-54785546952.11108,23364712351.524174,-3996732384.1857567,-1082084448282.3958,22927788280.93312,19852067558.713585,-8560373204.635152,-22093329631.416367,-337395943072.5831,-9468044141.886217,-46191034859.61631,-21947600586.464268,-8749606391.252758,-87849268958.71304,3550511273.0455837,4079652413.8277802,-20828386036.34802,8448318488.754881
29,tiktok_under_4s_watched,1764170653.0017571,1764170654.9979868,-41769007528.61989,-73318974020.07167,-68380341218.14337,44942544325.510475,6547162481.24621,-272207204301.6231,-110371393168.12784,1486724289.0004683,9608741993.021585,2268200194.5624866,-36839739085.79309,-735323893.4106867,31634070336.15701,-80331026672.63322,-8739150780.921516,-47294813206.20726,-5573152486.995122,-10612272033.240849,-9786452736.182865,16648001930.836903
30,tiktok_under_4s_watched,1764170660.689811,1764170662.6859794,-29681142121.109676,-750255390.3325406,-145479402407.73215,59973675334.3793,3644815475.1568203,-131844039665.49696,-6966407038.556936,-18595662272.790672,-2286957215.5164323,-8993868576.33389,5265989651.329541,-4272297115.372752,-63904387955.339775,-14078521427.697708,-13190028426.21929,-17723579651.736145,488742573.73001194,-7437317733.030779,-8978904170.67596,-89504506656.54991
31,tiktok_under_4s_watched,1764170663.3149457,1764170665.045438,-47529459309.55153,27240672997.939617,107332008950.43011,50674631404.34781,3729210106.4284954,-502700630717.48535,-109825242877.72449,-5522050057.9656725,-12720277924.505398,-5027094491.170769,-116476482866.39526,5712071053.9471,-61140227836.51779,16371726417.83162,-6985493536.14705,-51059513913.55497,-8471337543.507365,-7786270961.117561,-17800121963.9626,-48081759286.64896
32,tiktok_under_4s_watched,1764170665.0493517,1764170667.0455396,-71897803673.2659,-28403981661.748466,-296215542489.2487,6287374456.256143,-2754663482.1968145,-942922739777.7244,-104776032845.00385,-13062108495.508324,4723889741.458579,-436563382.487922,-95097928950.01176,-17241792318.384113,28544867133.83232,-32302077402.305336,-22161590676.49883,-2768686736.0034695,-8326980700.604962,-4316548760.383187,1973321104.7436886,30610204664.904278
33,tiktok_under_4s_watched,1764170682.2999582,1764170683.280426,-17682827819.395416,3186732735.1401725,115086118666.11285,-19966026930.7124,7897930685.857045,-1246888381263.5747,-37963743892.823456,19362684096.026016,4717973835.587295,2113904871.209741,-287896913898.3199,-36344285397.051735,-76367444452.39044,-97690633157.25748,-3146979412.4145164,-66491108277.31039,-11594496344.384653,-8724983119.515697,4615392464.417104,6536738844.771492
34,tiktok_under_4s_watched,1764170683.2843869,1764170685.0148664,-32986450258.02693,-57130928445.58152,-299444138287.0549,21276347307.75493,8467628977.824213,-481562632629.0928,-35474944047.43715,-31391197500.70671,7790938828.094997,12049764048.143291,13398368471.827497,-19529183969.61552,-77670718827.59012,-42127251998.66085,-15975719077.814236,-138409068875.19562,-8013982144.998084,-11610621110.201239,-4574700785.546166,-32842039171.305958
35,tiktok_under_4s_watched,1764170685.0187857,1764170686.1398995,-85877009236.70396,-45271359439.12411,140247694089.1749,23044808361.391266,16710753510.297272,-1052268532672.8452,45828838436.74532,2074899.1475562202,-6681823279.655786,25680753192.34648,-255029231674.8074,-43311934054.69965,-47722655709.718414,-62343434584.679535,-2368791852.6421337,-119066926080.29541,-4264502045.1777625,-13787944072.68083,-12366433249.317522,15576751306.747974
36,tiktok_under_4s_watched,1764170686.1438186,1764170687.8274386,-41391384436.89358,-86638793442.34578,-298632491024.8499,45966261808.42905,237367759.84477705,-456696188745.40857,-139614814699.87338,-3348606658.293011,3242643050.3376555,-11641498404.34719,-263129689570.51242,9878406068.927448,-59606898654.61895,-51042558424.144615,-15893484016.464983,-44622080479.904945,-27500073617.71548,-6820010634.578475,-6872589819.880219,-47092211835.1652
